Market Options 6 7 2020,,,,,,,
MQG1V7,MACQ GROUP NOV-20P12,10.545,150,5,124.01,0,10.545
FMGI37,FORTESCUE  JUL-20P11,0.02,15,1,11.51,0,0
FMGJ29,FORTESCUE  OCT-20C12,1.77,40,1,12.26,0,0
FMGKV7,FORTESCUE  SEP-20C15,0.25,93,1,15.14,0,0.25
FMGL87,FORTESCUE  AUG-20C15,0.27,22,1,15.01,0,0.27
FMGM47,FORTESCUE  JUL-20P13,0.135,300,1,13,0,0.135
FMGMD7,FORTESCUE  JUL-20C14,0.31,14,1,14.25,0,0
FMGMF7,FORTESCUE  JUL-20C14,0.2,84,2,14.5,0,0.2
FMGUC9,FORTESCUE  OCT-20C11,2.315,38,1,11.26,0,0
FMGYD8,FORTESCUE  OCT-20C13,1.4,21,1,13,0,1.4
FMGZ58,FORTESCUE  JUL-20C12,1.665,40,1,12.51,0,0
HMXOD,HAMMER     OPT SEP20,0.011,340691,3,0.03,0,0
FMGZS8,FORTESCUE  JUL-20P13,0.16,100,1,13.5,0,0
GBZOB,GBMRESOURC OPTJUL23D,0.029,6385,1,0.11,0,0.029
GEVOA,GLOBENEVEN OPT MAY23,0.02,56146,1,0.12,0,0
GMGU17,GOOD GROUP OCT-20C16,0.62,72,1,16.5,0,0.62
NABKY8,NAT. BANK  AUG-20P18,0.81,1,1,18.5,0,0
NABJK8,NAT. BANK  JUL-20C20,0.06,126,6,20,0,0
NABIU8,NAT. BANK  SEP-20P20,2.11,10,1,20.5,0,0
NAB9H7,NAT. BANK  OCT-20C19,1.1,20,1,19,0,0
NABFS8,NAT. BANK  JUN-22P22,11,200,1,22,0,0
NABG47,NAT. BANK  DEC-20C24,0.12,200,1,24.51,0,0.12
MQGVG7,MACQ GROUP AUG-20P95,0.31,150,3,95,0,0.31
MQGRO7,MACQ GROUP AUG-20P11,3.45,104,4,116,0,0
MQGSW9,MACQ GROUP SEP-20P10,1.98,6,1,108,0,1.98
MQGSY9,MACQ GROUP MAR-21C13,8.8,10,1,130,0,8.8
MQGT59,MACQ GROUP JUL-20C12,2.27,30,1,122.01,0,0
MQGT67,MACQ GROUP JUL-20P10,0.17,400,3,100,0,0
MTS3Q9,METCASHLTD JUL-20C24,0.35,3000,2,2.4,0,0
MTS3Z9,METCASHLTD JUL-20C26,0.08,80,1,2.6,0,0
MQGVN8,MACQ GROUP SEP-20C12,7,3,1,124.01,0,7
NAB7V7,NAT. BANK  OCT-20P15,0.24,50,1,15,0,0.24
MQGN49,MACQ GROUP OCT-20P11,3.5,10,1,112.01,0,3.5
MQGN98,MACQ GROUP DEC-20C14,2.795,10,1,144,0,2.795
MQG8X8,MACQ GROUP SEP-20C15,0.305,34,1,154,0,0.305
MQGLL7,MACQ GROUP AUG-20C12,2.93,10,1,128,0,0
MQGLN7,MACQ GROUP AUG-20C13,2.185,28,3,130,0,0
MQGLX7,MACQ GROUP AUG-20C13,1.7,19,2,134,0,0
MQGGU7,MACQ GROUP JUL-20C12,0.8,50,1,128,0,0
MQGJ59,MACQ GROUP JUL-20C12,1.5,40,1,128.01,0,0
MQGJR7,MACQ GROUP JUL-20C13,0.66,100,1,132.01,0,0
MQGKZ7,MACQ GROUP JUL-20P13,15.7,150,6,138.01,0,15.7
MQGLA7,MACQ GROUP DEC-20P14,23.2,1,1,144.01,0,23.2
MQGLH7,MACQ GROUP JUL-20C12,0.85,150,2,126,0,0
MQGP59,MACQ GROUP JUL-20P11,1.8,400,3,110.01,0,0
MQGNW7,MACQ GROUP JUL-20P12,3.3,20,1,124,0,3.3
MQGNY7,MACQ GROUP AUG-20P12,4.9,2,1,120,0,0
MQGR57,MACQ GROUP JUL-20P11,0.7,174,4,112,0,0
MQGR77,MACQ GROUP JUL-20P11,1.8,60,2,114,0,0
MQGR99,MACQ GROUP SEP-20P12,6.6,1,1,124,0,6.6
MQGRI7,MACQ GROUP AUG-20P11,3.78,2,1,110,0,0
CSLI17,CSL        JUL-20P29,14,15,1,292.01,0,0
CSLI68,CSL        AUG-20P28,13.65,15,1,286.01,0,0
CSL0N9,CSL        OCT-20C30,15.25,4,2,300,0,15.25
CSL8K7,CSL        AUG-20C34,1.1,1,1,342,0,0
CSL9G8,CSL        OCT-20P29,20.23,2,1,292,0,20.23
CSLEJ7,CSL        JUL-20C31,1,4,1,310,0,0
CSLWW8,CSL        JUL-20P27,0.7,15,1,270,0,0
CSLY38,CSL        AUG-20P26,12.82,15,1,268,0,0
CSLYB8,CSL        AUG-20P27,10.05,10,1,276,0,0
CSLSU8,CSL        AUG-20C29,14.6,10,1,294,0,0
FMGEN9,FORTESCUE  JUL-20C11,2.7,38,1,11.26,0,0
FMGF47,FORTESCUE  JUL-20C13,1.2,5,1,13,0,0
FLTI57,FLIGHT CTR AUG-20P12,1.785,1,1,12.82,0,0
FLTYU7,FLIGHT CTR OCT-20C12,1.285,20,2,12.25,0,1.285
FMG1J7,FORTESCUE  DEC-22C13,2.265,2,1,13.5,0,2.265
FLTCX7,FLIGHT CTR SEP-20C13,0.75,10,1,13.67,0,0.75
FLTEJ7,FLIGHT CTR JUL-20P13,2.65,1,1,13.24,0,0
CWNG37,CROWN      SEP-20C12,0.1,25,1,12.76,0,0
CWNG88,CROWN      MAR-21C11,0.34,25,1,11.51,0,0
EM1O,EMERGEGAM  OPT APR21,0.006,50000,1,0.02,0,0
CIMY98,CIMIC      DEC-20P21,1.57,10,1,21,0,1.57
CPUIJ8,CSHARE     MAR-21C11,2.65,4,1,11.5,0,0
CBAYD9,CWLTH BANK AUG-20C68,4.8,50,1,68,0,0
CBAYF9,CWLTH BANK AUG-20C69,3.58,50,1,69,0,0
CDXO,CARDIEXLTD OPT NOV21,0.006,2500000,2,0.05,0,0
CBATH7,CWLTH BANK SEP-20P63,1.705,40,3,63,0,0
CBAXL9,CWLTH BANK DEC-20C70,5.61,2,2,70.01,0,5.61
CBAXN7,CWLTH BANK JUL-20C73,1.125,20,1,73,0,1.125
CBAVC8,CWLTH BANK JUL-20C76,0.13,80,1,76,0,0
CBAVO9,CWLTH BANK JUL-20C68,2.51,90,1,68,0,0
CBAJD7,CWLTH BANK JUL-20C74,0.095,354,5,74,0,0
CBAJF7,CWLTH BANK JUL-20C75,0.05,150,1,75,0,0.05
CBAM87,CWLTH BANK JUL-20P70,0.5,40,1,70.01,0,0
CBAMA9,CWLTH BANK JUL-20C66,3.3,40,1,66.01,0,0
CBAMW8,CWLTH BANK JUL-20C68,1.9,40,1,68.01,0,0
CBAN18,CWLTH BANK JUL-20C70,1.625,70,1,70.01,0,0
CBAN38,CWLTH BANK JUL-20C71,1.495,70,1,71.01,0,0
CBAN68,CWLTH BANK JUL-20P72,2.4,50,1,72.01,0,0
CBABG7,CWLTH BANK JUL-20P74,6,50,1,74.01,0,0
CBAIT7,CWLTH BANK JUL-20P65,0.08,100,1,65,0,0
CBAIV7,CWLTH BANK JUL-20P66,0.06,150,1,66,0,0
CBA7X9,CWLTH BANK MAR-21P86,16.82,20,1,86.01,0,16.82
CBAB79,CWLTH BANK AUG-20P70,3.2,150,3,70.01,0,0
BHPSC7,BHP GROUP  AUG-20P35,1.3,50,1,35,0,0
BHPS69,BHP GROUP  JUL-20C32,3.35,24,1,32.51,0,0
BHPRZ9,BHP GROUP  JUL-20C32,3.29,51,3,32.01,0,0
BHPNW7,BHP GROUP  AUG-20C34,2.6,3,1,34.01,0,0
BHPP47,BHP GROUP  AUG-20P36,1.9,10,1,36.01,0,0
BHPQ27,BHP GROUP  JUL-20C34,1.465,47,1,34.51,0,0
BHPQ28,BHP GROUP  JUL-20P33,0.265,52,16,33.5,0,0.265
BHPQ98,BHP GROUP  JUL-20C35,1.21,1,1,35.5,0,1.21
BHPQA8,BHP GROUP  JUL-20P35,0.78,30,1,35.5,0,0.78
BHPQB8,BHP GROUP  JUL-20C36,0.74,55,17,36,0,0.74
BHPQC8,BHP GROUP  JUL-20P36,0.89,5,1,36,0,0.89
BHPQD8,BHP GROUP  JUL-20C36,0.52,53,3,36.5,0,0.52
BHPJF7,BHP GROUP  AUG-20C39,0.37,5,1,39.5,0,0
BHPK57,BHP GROUP  JUL-20P34,0.3,50,1,34,0,0
BHPD38,BHP GROUP  AUG-20P33,0.6,30,1,33.01,0,0.6
BHPEQ9,BHP GROUP  SEP-20C32,3.35,24,1,32.51,0,0
BHPF97,BHP GROUP  JUL-20P37,2,16,1,37.5,0,0
BHPFG7,BHP GROUP  JUL-20P38,2.525,15,1,38,0,0
BHPGW7,BHP GROUP  JUL-20C33,3.05,3,1,33.01,0,0
BHPSH7,BHP GROUP  AUG-20C36,1.37,50,1,36.5,0,0
BHPSK7,BHP GROUP  AUG-20P37,2,31,2,37,0,0
BHPVC8,BHP GROUP  SEP-20C35,2.07,47,1,35.01,0,0
BHPWS9,BHP GROUP  JUL-20C33,2.1,21,1,33.51,0,0
BHPX17,BHP GROUP  SEP-20C36,1.45,90,1,36.01,0,0
BHPXK7,BHP GROUP  OCT-20C32,4.25,51,3,32.01,0,0
BLDBP9,BORAL LTD  SEP-20C42,0.16,200,1,4.2,0,0
BOQKT8,BANK QLD   JUL-20P62,0.1,10,2,6.25,0,0.1
BLZO,BLAZE INT  OPT MAR22,0.005,1982500,11,0.05,0,0
BOQD18,BANK QLD   SEP-20C62,0.475,500,4,6.25,0,0.475
BSLCY8,BLUESCOPE  SEP-20P11,1.095,200,1,11.01,0,1.095
BRVO,BIGRIVGOLD OPT JUN22,0.015,150000,1,0.02,0,0
BSL8Z7,BLUESCOPE  SEP-20P14,3.23,150,2,14.76,0,0
CBA2F8,CWLTH BANK JUN-21C74,4.5,53,2,74,0,0
CBA3Q7,CWLTH BANK MAR-21C73,5.23,53,2,73,0,0
CBA4H7,CWLTH BANK AUG-20P63,0.7,3,1,63,0,0.7
CBA4X7,CWLTH BANK SEP-20P65,2.42,40,3,65,0,0
BSLTN7,BLUESCOPE  SEP-20P11,1.09,200,1,11,0,1.09
BSLXK9,BLUESCOPE  SEP-20P10,0.95,200,1,10.75,0,0.95
BSLXL9,BLUESCOPE  SEP-20C11,0.585,200,1,11.25,0,0.585
BSLY89,BLUESCOPE  SEP-20P11,1.565,200,1,11.75,0,1.565
BSLYA9,BLUESCOPE  SEP-20P12,1.92,200,1,12.25,0,1.92
BXB0Z8,BRAMB LTD  AUG-20P10,0.21,100,1,10,0,0.21
BXB9Z9,BRAMB LTD  OCT-20C12,0.29,1250,5,12,0,0.29
BXBB27,BRAMB LTD  OCT-20C12,0.245,1250,5,12.25,0,0.245
BXBZ29,BRAMB LTD  DEC-20C10,0.78,6,1,10.97,0,0.78
CADO,CAENEUS    OPT DEC20,0.001,3010000,3,0.03,0,0
CAVOA,CARNAVALE  OPT SEP20,0.001,6000000,5,0.007,0,0
BSLII7,BLUESCOPE  JUL-20P10,0.12,20,1,10,0,0
BSLG97,BLUESCOPE  AUG-20P12,1.575,200,1,12,0,1.575
BSLR37,BLUESCOPE  SEP-20C12,0.35,200,1,12,0,0.35
BSLR47,BLUESCOPE  SEP-20P12,1.73,200,1,12,0,1.73
BSLRG7,BLUESCOPE  JUN-21P70,0.395,189,1,7,0,0.395
BSLRY7,BLUESCOPE  SEP-20C11,0.49,70,2,11.5,0,0.49
BSLD38,BLUESCOPE  SEP-20P10,0.955,200,1,10.76,0,0.955
BSLD98,BLUESCOPE  AUG-20P11,0.9,200,1,11.01,0,0.9
BSLDK8,BLUESCOPE  AUG-20C11,0.44,200,1,11.26,0,0.44
BSLDL8,BLUESCOPE  AUG-20P11,1.055,200,1,11.26,0,1.055
BSLDN8,BLUESCOPE  AUG-20P11,1.2,200,1,11.51,0,1.2
BSLDU8,BLUESCOPE  AUG-20C12,0.22,200,1,12.01,0,0.22
BSLG27,BLUESCOPE  AUG-20C11,0.445,200,1,11.25,0,0.445
BSLG37,BLUESCOPE  AUG-20P11,1.05,200,1,11.25,0,1.05
BSLF67,BLUESCOPE  DEC-20C11,0.96,10,1,11.25,0,0.96
BSLFY7,BLUESCOPE  AUG-20P10,0.755,200,1,10.75,0,0.755
BSLFZ7,BLUESCOPE  AUG-20C11,0.535,220,2,11,0,0.535
BATO,BATTMIN    OPT JUL23,0.003,40000,1,0.1,0,0
BCNOB,BEACON MIN OPT AUG22,0.019,500000,3,0.025,0,0
BENFH8,BEN ADE BK MAR-21C82,0.32,50,1,8.25,0,0.32
BENUZ7,BEN ADE BK AUG-20C72,0.31,20,1,7.25,0,0.31
BHP1K9,BHP GROUP  JUL-20C35,1.43,90,1,35.01,0,0
APTEH7,AFTERPAY   SEP-20P66,9.05,3,1,66,0,9.05
APTGZ7,AFTERPAY   JUL-20P69,4.1,10,1,69,0,4.1
APTI37,AFTERPAY   OCT-20C69,11.05,1,1,69,0,11.05
APTII7,AFTERPAY   JUL-20C72,2.12,32,3,72,0,2.12
ASX9X8,ASX        AUG-20C90,1.745,5,1,90,0,0
AWCUO8,ALUMINA    SEP-20C18,0.06,400,1,1.81,0,0.06
AWCVT8,ALUMINA    NOV-20C17,0.12,160,2,1.75,0,0.12
AZJNU9,AURIZON    AUG-20P47,0.145,4135,16,4.7,0,0.145
APT7K7,AFTERPAY   AUG-20P45,0.95,5,1,45,0,0.95
APT1H9,AFTERPAY   AUG-20P50,1.75,15,2,50,0,0
APT2K8,AFTERPAY   OCT-20P58,6.15,1,1,58,0,6.15
APTC27,AFTERPAY   JUL-20C60,3,10,2,60,0,0
APTC47,AFTERPAY   JUL-20C61,9.66,10,2,61,0,0
APTC57,AFTERPAY   JUL-20P61,1.955,3,1,61,0,0
APTC67,AFTERPAY   JUL-20C62,7.8,2,1,62,0,0
APTCG7,AFTERPAY   AUG-20P61,4.5,5,1,61,0,4.5
APTD17,AFTERPAY   JUL-20P63,2,3,1,63,0,0
APTE77,AFTERPAY   JUL-20C66,4.35,10,1,66,0,0
APTB67,AFTERPAY   AUG-20P57,3.9,30,1,57,0,0
APTJ17,AFTERPAY   AUG-20C80,4.145,4,1,80.01,0,4.145
APTJ97,AFTERPAY   JUL-20C75,1.5,41,2,75,0,1.5
APTJA7,AFTERPAY   JUL-20P75,8.33,2,1,75,0,8.33
APTKW7,AFTERPAY   JUL-20C10,0.145,50,3,100,0,0.145
APTKY7,AFTERPAY   JUL-20C10,0.095,30,1,100.01,0,0.095
AQDOC,AUSQUEST   OPT NOV21,0.004,500000,2,0.025,0,0
ARDOB,ARGENT MIN OPT OCT20,0.007,75000,1,0.025,0,0
AGLEO7,AGL ENERGY SEP-20P19,1.89,20,1,19.01,0,0
ANZ8X7,ANZ BANK   DEC-20C22,0.48,450,3,22,0,0
ANZCS8,ANZ BANK   SEP-20C18,1.83,50,1,18.01,0,1.83
ANZIO8,ANZ BANK   SEP-20C27,0.04,450,3,27,0,0
ANZJF9,ANZ BANK   JUL-20P20,1.535,5,1,20,0,0
ANZJI9,ANZ BANK   AUG-20C20,0.5,56,3,20,0,0
ANZJJ9,ANZ BANK   AUG-20P20,1.71,5,1,20,0,0
ANZUL8,ANZ BANK   JUL-20P18,0.035,100,1,18,0,0
ANZUN8,ANZ BANK   JUL-20P18,0.11,100,1,18.5,0,0
ANZVH9,ANZ BANK   DEC-20P12,0.16,250,1,12.25,0,0.16
ANZXU9,ANZ BANK   AUG-20P14,0.65,50,1,14.5,0,0
ANZZI8,ANZ BANK   JUL-20C19,0.74,30,1,19,0,0.74
ANZKU9,ANZ BANK   AUG-20P18,0.785,50,1,18.5,0,0
ANZMJ9,ANZ BANK   AUG-20P17,0.6,100,1,17.5,0,0
ANZQ27,ANZ BANK   OCT-20P15,0.22,50,1,15,0,0.22
AMCZG7,AMCOR PLC  JUL-20P13,0.175,30,1,13.5,0,0
AGLTM7,AGL ENERGY DEC-20P14,0.27,86,1,14.5,0,0.27
AMCBK8,AMCOR PLC  AUG-20C16,0.185,30,1,16,0,0
AMCIM7,AMCOR PLC  DEC-20C16,0.29,100,2,16,0,0
AMCQB7,AMCOR PLC  SEP-20C16,0.13,350,2,16.5,0,0
A2MK48,A2 MILK    AUG-20P17,0.44,1,1,17.5,0,0.44
A2MJ28,A2 MILK    JUL-20C18,1.25,40,2,18.5,0,0
A2MJ48,A2 MILK    JUL-20C19,0.355,10,1,19,0,0
A2MJG8,A2 MILK    JUL-20C19,0.295,10,1,19.5,0,0
A2MJT8,A2 MILK    AUG-20P15,0.16,155,3,15,0,0.16
AGLNR7,AGL ENERGY JUL-20P16,0.18,500,2,16,0,0
AGLQ97,AGL ENERGY AUG-20P17,0.52,18,1,17.5,0,0.52
ALDDO7,AMPOL      AUG-20C28,1.13,200,1,28.5,0,1.13
ALDFH7,AMPOL      AUG-20P24,0.24,50,1,24,0,0.24
ALDI77,AMPOL      DEC-20P22,0.68,46,1,22.01,0,0.68
ALUEM8,ALTIUM LTD SEP-20C34,3.15,1,1,34,0,3.15
WESTS8,WESFARMER  AUG-20C45,0.995,10,1,45.5,0,0
WESTN8,WESFARMER  AUG-20P44,1.69,8,1,44,0,0
WESMV8,WESFARMER  JUL-20P44,0.41,80,1,44.5,0,0
WESTL8,WESFARMER  AUG-20P43,0.94,40,1,43.5,0,0
WEST98,WESFARMER  AUG-20P42,0.475,10,1,42,0,0.475
WESS49,WESFARMER  AUG-20C47,0.925,10,1,47,0,0
WESST9,WESFARMER  JUL-20P46,0.66,50,1,46.01,0,0.66
WESMG9,WESFARMER  OCT-20P42,1.35,20,1,42.5,0,1.35
WESQY9,WESFARMER  JUL-20P43,0.77,120,1,43.01,0,0
WBCYG9,WESTPAC    SEP-20P18,0.86,20,1,18,0,0
WES0J9,WESFARMER  MAR-21P43,2.92,20,1,43,0,2.92
WESD68,WESFARMER  DEC-20P44,2.8,50,1,44.88,0,2.8
WESN58,WESFARMER  JUL-20C47,0.415,26,5,47,0,0.415
WESQ47,WESFARMER  JUN-21P44,4.18,20,1,44.66,0,4.18
WORXI7,WORLEY     SEP-20P85,0.66,150,1,8.5,0,0.66
WESYD9,WESFARMER  MAR-21P38,1.38,50,1,38,0,1.38
WOAO,WIDE OPEN  OPT JUN21,0.13,4000,1,0.3,0,0
WPLJZ8,WOODSIDE   SEP-20C35,0.015,15,1,35.01,0,0
WPLIZ9,WOODSIDE   JUL-20P31,15.75,30,1,31.01,0,0
WPLJD9,WOODSIDE   JUL-20C23,0.07,10,1,23.5,0,0
WPLPZ9,WOODSIDE   JUL-20C22,0.4,50,1,22.5,0,0
WPLQ99,WOODSIDE   AUG-20P19,0.5,10,1,19.5,0,0
WRMO,WHITEROCK  OPT NOV22,0.005,275000,3,0.01,0,0
WTCP58,WISETECH   AUG-20C26,0.35,2,1,26,0,0.35
XJO6Q8,S&P/ASX200 SEP-20C64,61,750,1,6400,0,0
XJO6V7,S&P/ASX200 AUG-20C62,63,20,2,6250,0,0
XJO9F8,S&P/ASX200 SEP-20P65,800,2,1,6500,0,0
XJO9J7,S&P/ASX200 AUG-20C63,82,30,1,6300,0,0
XJO9U9,S&P/ASX200 AUG-20P60,205,50,2,6025,0,0
XJO5Q8,S&P/ASX200 SEP-20C61,210,1,1,6100,0,0
XJO4F9,S&P/ASX200 DEC-20C50,1013,1,1,5000,0,0
XJO4G9,S&P/ASX200 DEC-20P50,139,1,1,5000,0,0
XJO4Z8,S&P/ASX200 SEP-20C59,208,500,1,5900,0,0
XJO3U8,S&P/ASX200 SEP-20P55,170,2,1,5500,0,0
WTCZX7,WISETECH   AUG-20P13,0.2,18,1,13.5,0,0.2
XJO0A8,S&P/ASX200 JUL-20P47,1,30,1,4775,0,1
XJO0H8,S&P/ASX200 AUG-20P61,198,12,1,6100,0,0
XJOBN7,S&P/ASX200 AUG-20C57,352,3,1,5700,0,0
XJOBJ9,S&P/ASX200 JUL-20P52,4,15,1,5200,0,0
XJOD98,S&P/ASX200 JUN-21P48,202,150,1,4800,0,202
XJODL8,S&P/ASX200 JUN-21P50,242,1,1,5000,0,242
XJOE38,S&P/ASX200 DEC-20P60,494,1000,1,6000,0,0
XJOE58,S&P/ASX200 DEC-20P54,212,1,1,5400,0,0
XJO9V9,S&P/ASX200 AUG-20C60,114,1,1,6050,0,0
XJO9Z9,S&P/ASX200 AUG-20C60,196,50,2,6075,0,0
XJO8U9,S&P/ASX200 AUG-20P59,170,5,1,5975,0,170
XJOBH7,S&P/ASX200 JUL-20C57,409,2,2,5700,0,0
XJOIN9,S&P/ASX200 JUL-20P57,117,7,1,5700,0,0
XJOIO8,S&P/ASX200 AUG-20P56,195,116,1,5675,0,0
XJOIR9,S&P/ASX200 JUL-20P57,36,50,1,5750,0,0
XJOIU9,S&P/ASX200 AUG-20P66,985,7,1,6675,0,0
XJOFS8,S&P/ASX200 JUL-20P54,58,130,1,5475,0,0
XJOFX7,S&P/ASX200 AUG-20C58,320,1,1,5850,0,0
XJOFY7,S&P/ASX200 AUG-20P58,140,10,6,5850,0,0
XJOG78,S&P/ASX200 JUL-20P56,44,10,1,5650,0,0
XJOGX8,S&P/ASX200 AUG-20P54,103,6,2,5400,0,0
XJOHY9,S&P/ASX200 JUL-20P55,20,20,1,5500,0,20
XJOCI8,S&P/ASX200 AUG-20P32,1,150,1,3200,0,1
XJOD17,S&P/ASX200 JUL-20C59,178,4,1,5925,0,0
XJOFL7,S&P/ASX200 JUL-20C58,143,1,1,5825,0,0
XJOFN7,S&P/ASX200 JUL-20C58,152,50,2,5850,0,0
XJOFP8,S&P/ASX200 JUL-20C54,550,29,1,5450,0,0
XJOXG8,S&P/ASX200 JUL-20C62,22,251,12,6250,0,0
XJOW89,S&P/ASX200 AUG-20C65,32,8,1,6500,0,0
XJOWA9,S&P/ASX200 AUG-20C66,24,12,3,6600,0,0
XJOWL8,S&P/ASX200 JUL-20P54,25,135,2,5475,0,0
XJOXC8,S&P/ASX200 MAR-21C70,28,12,2,7000,0,0
XJOXC9,S&P/ASX200 JUL-20C59,190,50,3,5900,0,0
XJOY28,S&P/ASX200 JUL-20C64,8,11,2,6400,0,0
XJOY58,S&P/ASX200 JUL-20C54,592,31,2,5450,0,592
XJOZ37,S&P/ASX200 DEC-20P65,760,1,1,6500,0,0
XJOZ89,S&P/ASX200 JUL-20C58,187,1,1,5800,0,0
XJOZ99,S&P/ASX200 JUL-20P58,33,45,4,5800,0,0
XJOZR7,S&P/ASX200 JUL-20C61,62,41,4,6150,0,0
XJOVF8,S&P/ASX200 JUL-20P60,75,10,1,6075,0,0
XJOVQ8,S&P/ASX200 JUL-20C62,13,106,4,6225,0,0
XJOVS8,S&P/ASX200 JUL-20C62,6,109,4,6250,0,0
XJOVU8,S&P/ASX200 JUL-20C62,9,40,1,6275,0,0
XJOVW8,S&P/ASX200 JUL-20C63,4,7,1,6300,0,0
XJOW28,S&P/ASX200 MAR-21C66,152,6,2,6600,0,0
XJOW69,S&P/ASX200 AUG-20C60,248,30,2,6000,0,0
XJOUA7,S&P/ASX200 JUL-20P57,116,4,1,5725,0,0
XJOUC7,S&P/ASX200 JUL-20P57,33,44,6,5750,0,0
XJOUO7,S&P/ASX200 SEP-20C45,1442,20,3,4500,0,0
